geo,wst_oper,unit,year,value
EU27_2020,GEN,KG_HAB,2006.0,513.0
ES,RCV_E,KG_HAB,2006.0,46.0
EU27_2020,RCV_E,KG_HAB,2006.0,70.0
ES,RCY,KG_HAB,2006.0,184.0
EU27_2020,RCY,KG_HAB,2006.0,170.0
ES,RCY_C_D,KG_HAB,2006.0,102.0
EU27_2020,RCY_C_D,KG_HAB,2006.0,61.0
ES,RCY_M,KG_HAB,2006.0,82.0
EU27_2020,RCY_M,KG_HAB,2006.0,109.0
ES,TRT,KG_HAB,2006.0,590.0
EU27_2020,TRT,KG_HAB,2006.0,482.0
ES,DSP_I,KG_HAB,2007.0,9.0
EU27_2020,DSP_I,KG_HAB,2007.0,37.0
ES,DSP_I_RCV_E,KG_HAB,2007.0,57.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2007.0,112.0
ES,DSP_L_OTH,KG_HAB,2007.0,344.0
EU27_2020,DSP_L_OTH,KG_HAB,2007.0,199.0
ES,GEN,KG_HAB,2007.0,578.0
EU27_2020,GEN,KG_HAB,2007.0,517.0
ES,RCV_E,KG_HAB,2007.0,49.0
EU27_2020,RCV_E,KG_HAB,2007.0,75.0
ES,RCY,KG_HAB,2007.0,177.0
EU27_2020,RCY,KG_HAB,2007.0,182.0
ES,RCY_C_D,KG_HAB,2007.0,99.0
EU27_2020,RCY_C_D,KG_HAB,2007.0,64.0
ES,RCY_M,KG_HAB,2007.0,77.0
EU27_2020,RCY_M,KG_HAB,2007.0,119.0
ES,TRT,KG_HAB,2007.0,578.0
EU27_2020,TRT,KG_HAB,2007.0,493.0
ES,DSP_I,KG_HAB,2008.0,0.0
EU27_2020,DSP_I,KG_HAB,2008.0,36.0
ES,DSP_I_RCV_E,KG_HAB,2008.0,47.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2008.0,116.0
ES,DSP_L_OTH,KG_HAB,2008.0,285.0
EU27_2020,DSP_L_OTH,KG_HAB,2008.0,190.0
ES,GEN,KG_HAB,2008.0,551.0
EU27_2020,GEN,KG_HAB,2008.0,517.0
ES,RCV_E,KG_HAB,2008.0,47.0
EU27_2020,RCV_E,KG_HAB,2008.0,80.0
ES,RCY,KG_HAB,2008.0,219.0
EU27_2020,RCY,KG_HAB,2008.0,189.0
ES,RCY_C_D,KG_HAB,2008.0,134.0
EU27_2020,RCY_C_D,KG_HAB,2008.0,69.0
ES,RCY_M,KG_HAB,2008.0,85.0
EU27_2020,RCY_M,KG_HAB,2008.0,120.0
ES,TRT,KG_HAB,2008.0,551.0
EU27_2020,TRT,KG_HAB,2008.0,495.0
