"idp";"fep";"sexo";"edad";"nacionalidad";"cpro";"grurba";"compra1";"compra2";"compra3";"compra4";"compra5";"donde1";"donde2";"donde3";"donde4";"donde5";"como";"alides1";"alides2";"alides3";"alides4";"alides5";"alides6";"respalim";"acaract1";"acaract2";"acaract3";"acaract4";"acaract5";"acaract6";"acaract7";"fresco";"higiene1";"higiene2";"higiene3";"higiene4";"higiene5";"higiene6";"higiene7";"pimport1";"pimport2";"pimport3";"pimport4";"pimport5";"pimport6";"resphig";"rnueva";"rcaract1";"rcaract2";"rcaract3";"rcaract4";"rcaract5";"rcaract6";"rcaract7";"rdes";"rnousa";"resprop";"medida1";"medida2";"medida3";"medida4";"medida5";"medida6";"medida7";"medida8";"noreduce1";"noreduce2";"noreduce3";"noreduce4";"noreduce5";"co2";"realiza";"vdispo1";"vdispo2";"vdispo3";"vdispo4";"vdispo5";"aguso1";"aguso2";"aguso3";"aguso4";"mtrans1";"mtrans2";"mtrans3";"mtrans4";"mtrans5";"mtrans6";"mtrans7";"mtrans8";"mmotiv1";"mmotiv2";"mmotiv3";"mmotiv4";"mmotiv5";"mmotiv6";"mmotiv7";"mmotiv8";"actitud";"mambient";"afecta";"actdigi";"nososte1";"nososte2";"nososte3";"nososte4";"nososte5";"nososte6";"nososte7";"confia";"propos1";"propos2";"propos3";"propos4";"propos5";"propos6";"propos7";"propos8";"nperson";"marco";"tipoh";"cest";"sactual";"ttrabajo";"cno";"ing"
2583;1163,62653722257;"1";"54";"1";"14";"2";"2";"1";"1";"2";"1";"2";"1";"1";"2";"2";"1";"2";"1";"2";"1";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"2";"2";"1";"4";"2";"2";"2";"1";"1";"1";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"2";"1";"2";"1";"2";"2";"1";"1";"1";"4";"1";"2";"1";"2";"2";"2";"2";"1";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"7";"2";"2";"2";"1";"2";"1";"2";"2";"3";"1";"2";"2";"2";"2";"2";"2";"2";"4";"4";"4";"5";"4";"1";"1";"4"
5246;1039,23047824242;"1";"66";"1";"14";"2";"3";"1";"1";"1";"3";"2";"1";"1";"2";"2";"1";"2";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"2";"1";"2";"1";"1";"1";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"1";"1";"1";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"3";"2";"1";"1";"2";"2";"1";"4";"1";"1";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"3";"1";"8";"1";"2";"2";"2";"2";"1";"2";"2";"3";"2";"1";"2";"2";"2";"2";"2";"2";"3";"3";"4";"0";"8";"-9";"-9";"4"
3678;992,95346959764;"6";"44";"1";"14";"2";"2";"1";"1";"2";"1";"2";"1";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"1";"2";"1";"2";"1";"2";"2";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"4";"1";"1";"2";"1";"2";"2";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"2";"1";"1";"2";"2";"1";"2";"1";"3";"1";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"3";"1";"10";"1";"2";"1";"1";"2";"1";"1";"2";"3";"1";"2";"2";"1";"2";"1";"2";"2";"4";"2";"4";"6";"1";"3";"2";"5"
2230;992,95346959764;"6";"43";"1";"14";"2";"3";"1";"1";"1";"1";"2";"1";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"1";"1";"2";"1";"2";"1";"2";"2";"2";"1";"4";"1";"2";"2";"1";"1";"1";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"2";"1";"1";"2";"2";"1";"1";"1";"3";"1";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"3";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"3";"2";"2";"2";"2";"1";"1";"2";"2";"3";"2";"4";"5";"6";"-9";"2";"98"
2162;1018,44465906082;"1";"62";"1";"14";"2";"2";"1";"1";"2";"1";"2";"2";"1";"2";"2";"1";"2";"1";"2";"1";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"1";"2";"1";"2";"1";"2";"2";"2";"1";"1";"1";"2";"2";"2";"2";"2";"2";"4";"2";"1";"2";"1";"2";"2";"1";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"3";"2";"2";"1";"2";"2";"1";"3";"4";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"9";"3";"2";"1";"2";"2";"2";"2";"2";"3";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"5";"4";"1";"2";"6"
2841;1468,04467159965;"6";"79";"1";"14";"2";"3";"2";"2";"3";"3";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"1";"2";"2";"2";"2";"3";"1";"1";"2";"1";"2";"1";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"2";"4";"6";"1";"2";"1";"1";"1";"1";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"2";"1";"2";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"3";"1";"10";"3";"2";"2";"2";"2";"2";"2";"1";"4";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"0";"12";"-9";"-9";"4"
3111;1163,62653722257;"1";"51";"1";"14";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"2";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"3";"2";"1";"1";"1";"2";"1";"4";"4";"3";"3";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"6";"2";"2";"1";"2";"2";"2";"2";"2";"3";"1";"2";"2";"1";"1";"2";"2";"2";"2";"1";"2";"2";"9";"-9";"-9";"4"
2405;1163,62653722257;"1";"54";"1";"14";"2";"1";"1";"1";"3";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"1";"5";"1";"2";"2";"1";"2";"2";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"2";"1";"1";"2";"2";"1";"3";"2";"3";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"1";"1";"1";"99";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"3";"3";"1";"3";"8";"4"
4133;1174,07741571336;"1";"55";"1";"14";"2";"2";"1";"3";"2";"2";"2";"1";"2";"2";"2";"1";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"1";"2";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"1";"2";"2";"2";"2";"1";"5";"1";"2";"2";"1";"1";"1";"2";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"2";"1";"1";"1";"2";"1";"2";"2";"4";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"10";"99";"2";"2";"1";"2";"2";"2";"2";"4";"2";"2";"2";"2";"2";"2";"2";"1";"4";"4";"4";"1";"3";"3";"5";"99"
2598;1022,34839483423;"6";"51";"1";"14";"2";"3";"1";"1";"3";"3";"1";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"2";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"1";"5";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"4";"4";"4";"0";"2";"3";"9";"4"
